Symbol,Instrument,
IS3N GY,iShares Core MSCI EM IMI UCITS ETF,
LEER GY,Lyxor MSCI Eastern Europe ex Russia UCITS ETF,
MOAT LN,VanEck Vectors Morningstar US Wide Moat UCITS ETF,
CSPX LN,iShares Core S&P 500 UCITS ETF,
IUSE LN,iShares Core S&P 500 EUR Hedged UCITS ETF (Acc),
CNDX LN,iShares NASDAQ 100 UCITS ETF,
AMEA GY,Amundi Msci EM Asia UCITS ETF,
2B76 GY,iShares Automation & Robotics UCITS ETF,
SXAPEX GY,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF,
SBIO LN,Invesco NASDAQ Biotech UCITS ETF,
IUSZ GY,iShares Core FTSE 100 UCITS ETF,
IQQH GY,iShares Global Clean Energy UCITS ETF,
DRUP GY,Lyxor MSCI Disruptive Technology ESG Filtered (DR) UCITS ETF (Acc),
EUNY GY,iShares EM Dividend UCITS ETF,
DTLA LN,iShares USD Treasury Bond 20+y UCITS ETF,
IEMB LN,iShares J.P. Morgan USD EM Bond UCITS ETF,
IEVD GY,iShares Electric Vehicles and Driving Technology UCITS ETF,
ESP0 GY,VanEck Vectors Video Gaming and eSports UCITS ETF,
SXR7 GY,iShares Core MSCI EMU UCITS ETF,
SX5EEX GY,iShares EURO Stoxx 50 UCITS ETF,
IBC0 GY,iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc),
IUFS LN,iShares S&P 500 Financials Sector UCITS ETF,
ACWD LN,SPDR MSCI ACWI UCITS ETF,
ZPRS GY,SPDR MSCI World Small Cap UCITS,
AWDFK CP,WOOD&Co All Weather dluh. fond,
VHYD LN,Vanguard FTSE All-World High Dividend Yield UCITS ETF,
EUNA GY,iShares Core Global Aggregate Bond UCITS ETF,
HYLA LN,iShares Global High Yield Corp Bond UCITS ETF,
IGIL LN,iShares Global Inflation Linked Govt Bond UCITS ETF,
HEAL LN,iShares Healthcare Innovation UCITS ETF,
IUIT LN,iShares S&P 500 Information Technology Sector UCITS ETF,
XMK9 GY,X-TRACKERS MSCI Japan EUR Hedged UCITS ETF,
UIQK GY,UBS ETFs plc - CMCI Composite SF UCITS ETF,
EUN5 GY,iShares Core EUR Corp Bond UCITS ETF,
LQDE LN,iShares USD Corp Bond UCITS ETF,
LQDA LN,iShares USD Corp Bond UCITS ETF,
IBTA LN,iShares USD Treasury Bond 1-3yr UCITS ETF,
USPY LN,L&G Cyber Security UCITS ETF,
IQQP GY,iShares European Property Yield UCITS ETF,
DPYE LN,iShares Developed Markets Property Yield UCITS ETF,
IDPE LN,iShares Listed Private Equity UCITS ETF,
IWMO LN,iShares Edge MSCI World Momentum Factor UCITS ETF,
UEF5 GY,UBS ETF - MSCI Emerging Markets Socially Responsible UCITS ETF,
SEAC GY,UBS ETF-MSCI World Socially Responsible UCITS ETF,
2B77 GY,iShares Ageing Population UCITS ETF,
SXR1 GY,iShares Core MSCI Pacific ex-Japan UCITS ETF,
DH2O LN,iShares Global Water UCITS ETF,
IGLN LN,iShares Physical Gold ETC,
,,
