,Symbol,Instrument,Unnamed: 2,yfinance_ticker
0,IS3N GY,iShares Core MSCI EM IMI UCITS ETF,,EMIM.AS
1,LEER GY,Lyxor MSCI Eastern Europe ex Russia UCITS ETF,,LEER.F
2,MOAT LN,VanEck Vectors Morningstar US Wide Moat UCITS ETF,,GMVM.DE
3,CSPX LN,iShares Core S&P 500 UCITS ETF,,IUSA.AS
4,IUSE LN,iShares VII Public Limited Company - iShares Core S&P 500 UCITS ETF,,CSPX.AS
5,CNDX LN,iShares NASDAQ 100 UCITS ETF,,CNDX.AS
6,AMEA GY,Amundi Msci EM Asia UCITS ETF,,AASI.PA
7,2B76 GY,iShares Automation & Robotics UCITS ETF,,2B76.DE
8,SXAPEX GY,iShares STOXX Europe 600 Automobiles & Parts UCITS ETF,,EXV5.DE
9,SBIO LN,Invesco NASDAQ Biotech UCITS ETF,,SBIO.AS
10,IUSZ GY,iShares Core FTSE 100 UCITS ETF,,ISFA.AS
11,IQQH GY,iShares Global Clean Energy UCITS ETF,,IQQH.DE
12,DRUP GY,Lyxor MSCI Disruptive Technology ESG Filtered (DR) UCITS ETF (Acc),,QBIT.SW
13,EUNY GY,iShares EM Dividend UCITS ETF,,EUNY.DE
14,DTLA LN,iShares IV Public Limited Company - iShares $ Treasury Bond 20+yr UCITS ETF,,DTLA.L
15,IEMB LN,iShares II Public Limited Company - iShares J.P. Morgan $ Emerging Markets Bond UCITS ETF,,IUS7.F
16,IEVD GY,IShares Trust - Electric Vehicle Driving Technology UCITS Fund,,IEVD.DE
17,ESP0 GY,VanEck Vectors Video Gaming and eSports UCITS ETF,,ESP0.DE
18,SXR7 GY,iShares Core MSCI EMU UCITS ETF,,CEUU.AS
19,SX5EEX GY,iShares EURO Stoxx 50 UCITS ETF,,EUEA.AS
20,IBC0 GY,iShares IV Public Limited Company - iShares Edge MSCI Europe Multifactor UCITS ETF,,IBC0.F
21,IUFS LN,iShares S&P 500 Financials Sector UCITS ETF,,IUFS.L
22,ACWD LN,SPDR MSCI ACWI UCITS ETF,,EACW.MI
23,ZPRS GY,SPDR MSCI World Small Cap UCITS,,WDSC.L
24,AWDFK CP,WOOD&Co All Weather dluh. fond,,No Symbol Found
25,VHYD LN,Vanguard FTSE All-World High Dividend Yield UCITS ETF,,VHYL.AS
26,EUNA GY,iShares III Public Limited Company - iShares Global Aggregate Bond UCITS ETF,,AGGH.AS
27,HYLA LN,iShares Global High Yield Corp Bond UCITS ETF,,IBC9.F
28,IGIL LN,iShares III Public Limited Company - iShares Global Inflation Linked Government Bond UCITS ETF,,IGILN.MX
29,HEAL LN,iShares Healthcare Innovation UCITS ETF,,2B78.DE
30,IUIT LN,iShares S&P 500 Information Technology Sector UCITS ETF,,QDVE.DE
31,XMK9 GY,Xtrackers MSCI Japan UCITS ETF 4C EUR Hedged,,XMK9.DE
32,UIQK GY,UBS (Irl) Fund Solutions plc - CMCI Composite SF UCITS ETF,,UC15.L
33,EUN5 GY,iShares Core EUR Corp Bond UCITS ETF,,IEAC.AS
34,LQDE LN,iShares USD Corp Bond UCITS ETF,,LQDAN.MX
35,LQDA LN,iShares USD Corp Bond UCITS ETF,,LQDAN.MX
36,IBTA LN,iShares Public Limited Company - iShares $ Treasury Bond 1-3yr UCITS ETF,,IBTA.L
37,USPY LN,L&G Cyber Security UCITS ETF,,ISPY.AS
38,IQQP GY,iShares European Property Yield UCITS ETF,,IPRP.AS
39,DPYE LN,iShares Developed Markets Property Yield UCITS ETF,,IWDP.AS
40,IDPE LN,iShares Listed Private Equity UCITS ETF,,IPRV.AS
41,IWMO LN,iShares Edge MSCI World Momentum Factor UCITS ETF,,IS3R.DE
42,UEF5 GY,UBS ETF SICAV - MSCI Emerging Markets Socially Responsible UCITS ETF,,UEF5.AS
43,SEAC GY,UBS (Lux) Fund Solutions - MSCI World Socially Responsible UCITS ETF,,UIMM.AS
44,2B77 GY,iShares Ageing Population UCITS ETF,,2B77.DE
45,SXR1 GY,iShares Core MSCI Pacific ex-Japan UCITS ETF,,SXR1.DE
46,DH2O LN,iShares Global Water UCITS ETF,,H2OA.AS
47,IGLN LN,iShares Physical Gold ETC,,IGLN.L
48,,,,NAN
