Date,,2B76.DE,2B77.DE,2B78.DE,AASI.PA,AGGH.AS,CEUU.AS,CNDX.AS,CSPX.AS,DTLA.L,EACW.MI,EMIM.AS,ESP0.DE,EUEA.AS,EUNY.DE,EX37.VI,GMVM.DE,H2OA.AS,IBC0.F,IBC9.F,IBTA.L,IEAC.AS,IEVD.DE,IGILN.MX,IGLN.L,IPRP.AS,IPRV.AS,IQQH.DE,IS3R.DE,ISFA.AS,ISPY.AS,IUFS.L,IUS7.F,IUSA.AS,IWDP.AS,LEER.F,LQDAN.MX,NAN,QBIT.SW,QDVE.DE,SBIO.AS,SXR1.DE,UC15.L,UEF5.AS,UIMM.AS,VHYL.AS,WDSC.L,XMK9.DE
1999-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0625,,,,,,,,,,
1999-07-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9375,,,,,,,,,,
1999-08-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75,,,,,,,,,,
1999-09-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.375,,,,,,,,,,
1999-10-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.625,,,,,,,,,,
1999-11-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4375,,,,,,,,,,
1999-12-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3125,,,,,,,,,,
2000-01-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,,,,,,,,
2000-02-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,,,,
2000-03-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,
2000-04-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.625,,,,,,,,,,
2000-05-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
2000-06-01,Close,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,,,,,,,,,,
