,portu_name,yfinance_ticker
4,iShares S&P 500 EUR Hedged UCITS ETF (Acc),No Symbol Found
14,iShares USD Treasury Bond 20+y UCITS ETF,No Symbol Found
15,iShares J.P. Morgan USD EM Bond UCITS ETF,No Symbol Found
16,iShares Electric Vehicles and Driving Technology UCITS ETF,No Symbol Found
20,iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc),No Symbol Found
24,WOOD&Co All Weather dluh. fond,No Symbol Found
26,iShares Core Global Aggregate Bond UCITS ETF,No Symbol Found
28,iShares Global Inflation Linked Govt Bond UCITS ETF,No Symbol Found
31,X-TRACKERS MSCI Japan EUR Hedged UCITS ETF,No Symbol Found
32,UBS ETFs plc - CMCI Composite SF UCITS ETF,No Symbol Found
36,iShares USD Treasury Bond 1-3yr UCITS ETF,No Symbol Found
42,UBS ETF - MSCI Emerging Markets Socially Responsible UCITS ETF,No Symbol Found
43,UBS ETF-MSCI World Socially Responsible UCITS ETF,No Symbol Found
